Genre,Lyrics,SongInfo
Christian," Who am I, that the Lord of all the earth Would care to know my name Would care to feel my hurt? Who am I, that the bright and morning star Would choose to light the way For my ever wondering heart?  Not because of who I am But because of what Youve done Not because of what Ive done But because of who You are  I am a flower quickly fading Here today and gone tomorrow A wave tossed in the ocean A vapor in the wind Still You hear me when Im calling Lord You catch me when Im falling And You told me who I am I am Yours, I am Yours  Who am I, that the eyes that see our sin Would look on me with love And watch me rise again? Who am I, that the voice that calmed the sea Would call out through the rain And calm the storm in me?  Not because of who I am But because what of Youve done Not because of what Ive done But because of who You are  I am a flower quickly fading Here today and gone tomorrow A wave tossed in the ocean A vapor in the wind Still You hear me when Im calling Lord You catch me when Im falling And You told me who I am I am Yours  Not because of who I am But because of what Youve done Not because of what Ive done But because of who You are  I am a flower quickly fading Here today and gone tomorrow A wave tossed in the ocean A vapor in the wind Still You hear me when Im calling Lord You catch me when Im falling You told me who I am I am Yours, I am Yours, I am Yours Whom shall I fear? Whom shall I fear? Cause I am Yours, I am Yours ",CASTING CROWNS - WHO AM I LYRICS
Christian," Glory Revealed  By His Wounds He was pierced for our transgressions  He was crushed for our sins  The punishment that brought us peace was upon Him  And by His wounds, by His wounds we are healed   He was pierced for our transgressions  He was crushed for our sins  The punishment that brought us peace was upon Him  And by His wounds, by His wounds we are healed   We are healed by Your sacrifice  And the life that You gave  We are healed for You paid the price  By Your grace we are saved  We are saved   He was pierced for our transgressions  And crushed for our sins  The punishment that brought us peace was upon Him  And by His wounds, by His wounds we are healed   We are healed by Your sacrifice  And the life that You gave  We are healed for You paid the price  By Your grace we are saved  We are saved   He was pierced for our transgressions  He was crushed for our sins  The punishment that brought us peace was upon Him  And by His wounds, by His wounds we are healed  And by His wounds, by His wounds   What can wash away my sin?  Nothing but the blood of Jesus ",GLORY REVEALED - BY HIS WOUNDS LYRICS
Christian," Lord of heaven and earth Lord of all creation Lord of heaven and earth Lord of all creation Of water, earth and sky The heavens are your Tabernacle Glory to the Lord on high  God of wonders beyond our galaxy You are holy, holy The universe declares your majesty You are holy, holy Lord of heaven and earth Lord of heaven and earth  Early in the morning I will celebrate the light When I stumble in the darkness I will call your name by night  God of wonders beyond our galaxy You are holy, holy The universe declares your majesty You are holy, holy Lord of heaven and earth Lord of heaven and earth  Hallelujah, to the Lord of heaven and earth  Hallelujah, to the Lord of heaven and earth  Hallelujah, to the Lord of heaven and earth  Holy, holy  God of wonders beyond our galaxy You are holy, holy The universe declares your majesty You are holy, holy Lord of heaven and earth Lord of heaven and earth  Hallelujah to the lord of heaven and earth  Hallelujah to the lord of heaven and earth  Hallelujah to the lord of heaven and earth  Hallelujah to the lord of heaven and earth  Hallelujah to the lord of heaven and earth  Hallelujah to the lord of heaven and earth ",CAEDMON'S CALL - GOD OF WONDERS LYRICS
Christian," I can only imagine what it will be like When I walk by Your side I can only imagine what my eyes will see When Your face is before me I can only imagine Yeah  Surrounded by Your glory What will my heart feel? Will I dance for You Jesus? Or in awe of You be still?  Will I stand in Your presence Or to my knees will I fall? Will I sing, Hallelujah? Will I be able to speak at all? I can only imagine I can only imagine  I can only imagine when that day comes And I find myself standing in the sun I can only imagine when all I will do Is forever, forever worship You I can only imagine, yeah I can only imagine  Surrounded by Your glory What will my heart feel? Will I dance for You Jesus? Or in awe of You be still?  Will I stand in Your presence Or to my knees will I fall? Will I sing, Hallelujah? Will I be able to speak at all? I can only imagine I can only imagine  Surrounded by Your glory What will my heart feel? Will I dance for You Jesus? Or in awe of You be still?  Will I stand in Your presence Or to my knees will I fall? Will I sing, Hallelujah? Will I be able to speak at all? I can only imagine, yeah I can only imagine  I can only imagine, yeah I can only imagine I can only imagine I can only imagine  I can only imagine When all I would do Is forever, forever worship You I can only imagine ",MERCYME - I CAN ONLY IMAGINE LYRICS
Christian," I am not skilled to understand What God has willed, what God has planned I only know at His right hand Stands One who is my Savior  I take Him at His word and deed Christ died to save me, this I read And in my heart I find a need Of Him to be my Savior  That He would leave His place on high And come for sinful man to die You count it strange so once did I Before I met my Savior  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  Yes, living, dying, let me bring My strength, my solace from this spring That He who lives to be my King Once died to be my Savior  That He would leave His place on high And come for sinful man to die You count it strange so once did I Before I knew my Savior  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be  My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be My Savior loves, my Savior lives My Saviors always there for me My God He was, my God He is My God Hes always gonna be My Savior lives, my Savior loves My Savior lives, my Savior loves My Savior lives ",AARON SHUST - MY SAVIOR MY GOD LYRICS
Christian," This is the air I breathe This is the air I breathe Your Holy presence living in me  This is my daily bread This is my daily bread Your very word spoken to me  And I, Im desperate for You And I, Im lost without You  This is the air I breathe This is the air I breathe Your Holy presence living in me  This is my daily bread This is my daily bread Your very word spoken to me  And I, Im desperate for You And I, Im lost without You And I, Im desperate for You And I, Im lost without You  Im lost without You Im lost without You Im desperate for You Cry out to Him  Im desperate for You Cry out to You Im desperate for You Well Im lost without You now  Im desperate for You Im desperate for You Im lost, Im lost, Im lost without You Lord Yea, Im lost without You  Im lost without You Im lost without You Im desperate for You  How many of you are hungry for God? Are you hungry for Him? I want more of Him, who wants the flood gates to open up? ",MICHAEL W. SMITH - BREATHE LYRICS
Christian, We do not have the lyrics for How Great Is Our God yet. ,CHRIS TOMLIN - HOW GREAT IS OUR GOD LYRICS
Christian, Everyone needs compassion A love thats never failing Let mercy fall on me Everyone needs forgiveness A kindness of a Savior The hope of nations  Savior He can move the mountains My God is Mighty to save He is Mighty to save  Forever Author of salvation He rose and conquered the grave Jesus conquered the grave  So take me as You find me All my fears and failures Fill my life again I give my life to follow Everything I believe in Now I surrender Yes I surrender  Savior He can move the mountains My God is Mighty to save He is Mighty to save  Forever Author of salvation He rose and conquered the grave Jesus conquered the grave  Shine your light and let the whole world see Were singing for the glory of the risen King Jesus Shine your light and let the whole world see Were singing for the glory of the risen King Jesus  Savior He can move the mountains My God is Mighty to save He is Mighty to save  Forever Author of salvation He rose and conquered the grave Jesus conquered the grave  Savior You can move the mountains God you are mighty to save Yes you are mighty to save  Forever Author of Salvation You rose and conquered the grave Yes you conquered the grave  You were mighty to save ,LAURA STORY - MIGHTY TO SAVE LYRICS
Christian," Blessed be Your name In the land that is plentiful Where the streams of abundance flow Blessed be Your name  Blessed be Your name When Im found in the desert place Though I walk through the wilderness Blessed be Your name  Every blessing You pour out Ill turn back to praise When the darkness closes in, Lord Still I will say  Blessed be the name of the Lord Blessed be Your name Blessed be the name of the Lord Blessed be Your glorious name  Blessed be Your name When the suns shining down on me When the worlds all as it should be Blessed be Your name  Blessed be Your name On the road marked with suffering Though theres pain in the offering Blessed be Your name  Every blessing You pour out Ill turn back to praise When the darkness closes in, Lord Still I will say  Blessed be the name of the Lord Blessed be Your name Blessed be the name of the Lord Blessed be Your glorious name  You give and take away You give and take away My heart will choose to say Lord, blessed be Your name  Every blessing You pour out Ill turn back to praise When the darkness closes in, Lord Still Im gonna say  Blessed be the name of the Lord Blessed be Your name Blessed be the name of the Lord Blessed be Your glorious name  Blessed be the name of the Lord Blessed be Your name Blessed be the name of the Lord Blessed be Your glorious name  You give and take away You give and take away My heart will choose to say Lord, Blessed be Your name ",TREE63 - BLESSED BE YOUR NAME LYRICS
Christian, We do not have the lyrics for Holy Is the Lord yet. ,CHRIS TOMLIN - HOLY IS THE LORD LYRICS
Christian," EAST TO WEST  Here I am Lord and Im drowning In Your sea of forgetfulness The chains of yesterday surround me I yearn for peace and rest I dont want to end up where You found me And it echoes in my mind Keeps me awake tonight  I know Youve cast my sin as far As the East is from the West And I stand before You now As though Ive never sinned But today I feel like Im just one mistake away From You leaving me this way  Jesus, can You show me just how far the East is from the West? Cause I cant bear to see the man Ive been Rising up in me again In the arms of Your mercy I find rest You know just how far the East is from the West From one scarred hand to the other  I start the day, the war begins Endless reminding of my sin And time and time again Your truth is drowned out by the storm Im in Today I feel like Im just one mistake away From You leaving me this way  Jesus, can You show me just how far the East is from the West? Cause I cant bear to see the man Ive been Come rising up in me again In the arms of Your mercy I find rest Cause You know just how far the East is from the West From one scarred hand to the other  I know Youve washed me white Turned my darkness into light I need Your peace to get me through To get me through this night I cant live by what I feel About the truth Your word reveals And Im not holding onto You But Youre holding onto me Youre holding onto me  Jesus, You know just how far the East is from the West I dont have to see the man Ive been Come rising up in me again In the arms of Your mercy I find rest (mercy I find rest) You know just how far the East is from the West From one scarred hand to the other  (Just how far, the East is from the West, Just how far) From one scarred hand to the other (You know just how far, the East is from the West, Just how far) From one scarred hand to the other ",CASTING CROWNS - EAST TO WEST LYRICS
Christian," This is the start This is your heart This is the day you were born This is the sun These are your lungs This is the day you were born  And I am always, always Always yours I am always, always Always yours  These are the scars Deep in your heart This is the place you were born This is the hole Where most of your soul Comes ripping out From the places youve been torn  And it is always, always Always yours I am always, always Always yours  Hallelujah! Im caving in Hallelujah! Im in love again Hallelujah! Im a wretched man Hallelujah! Every breath is a second chance Yeah!  And it is always, always Always yours I am always, always Always yours Always, always Always yours Always, always Always yours Juro que amo todas tus carencias, aunque aprueben mi paciencia, amo todo si es contigo. ",SWITCHFOOT - ALWAYS LYRICS
Christian," I can count a million times People asking me how I Can praise You with all that Ive gone through  The question just amazes me Can circumstances possibly Change who I forever am in You  Maybe since my life was changed Long before these rainy days Its never really ever crossed my mind  To turn my back on You, oh Lord My only shelter from the storm But instead I draw closer through these times  So I pray Bring me joy, bring me peace Bring the chance to be free Bring me anything that brings You glory  And I know therell be days When this life brings me pain But if thats what it takes to praise You Jesus, bring the rain  I am yours regardless of The dark clouds that may loom above Because You are much greater than my pain  So I pray Bring me joy, bring me peace Bring the chance to be free Bring me anything that brings you glory  And I know therell be days When this life brings me pain But if thats what it takes to praise You Jesus, bring the rain  Holy, holy, holy, holy, holy, holy Is the Lord God Almighty Is the Lord God Almighty  And I forever sing Holy, holy, holy, holy, holy, holy Is the Lord God Almighty Is the Lord God Almighty  Everybody sing it Holy, holy, holy, holy, holy, holy Is the Lord God Almighty Is the Lord God Almighty  You are holy, You are holy Lord, You are holy Is the Lord our God Is the Lord our God Almighty, yeah, yeah, yeah  Everybody sing it Holy, You are holy Oh, holy, holy, holy, yeah, yeah, yeah Is the Lord God Almighty Is the Lord God Almighty, yeah, yeah, yeah, yeah  Holy, holy, holy, holy, holy, holy Is the Lord God Almighty Is the Lord God Almighty ",MERCYME - BRING THE RAIN LYRICS
Christian, We do not have the lyrics for Indescribable yet. ,CHRIS TOMLIN - INDESCRIBABLE LYRICS
